Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7nF","C_0603_1608Metric",55.245000,-75.565000,90.000000,top
"C2","4.7nF","C_0603_1608Metric",109.982000,-53.086000,180.000000,top
"C3","100nF","C_0603_1608Metric",54.356000,-71.181000,-90.000000,top
"C4","100nF","C_0603_1608Metric",54.356000,-66.741000,90.000000,top
"C5","10pF","C_0603_1608Metric",72.009000,-58.335000,90.000000,top
"C6","10pF","C_0603_1608Metric",72.009000,-54.695000,-90.000000,top
"C7","10uF","C_1206_3216Metric",66.040000,-61.595000,0.000000,top
"C8","100nF","C_0603_1608Metric",64.770000,-54.610000,90.000000,top
"C9","100nF","C_0603_1608Metric",53.800000,-52.500000,90.000000,top
"C10","100nF","C_0603_1608Metric",62.230000,-63.500000,-90.000000,top
"C11","1uF","C_1206_3216Metric",65.405000,-66.692000,-90.000000,top
"C12","1uF","C_1206_3216Metric",71.755000,-66.692000,-90.000000,top
"C13","100nF","C_0603_1608Metric",86.360000,-76.835000,-90.000000,top
"C14","100nF","C_0603_1608Metric",86.360000,-81.280000,-90.000000,top
"C15","10pF","C_0603_1608Metric",60.325000,-81.407000,180.000000,top
"C16","10pF","C_0603_1608Metric",60.325000,-87.249000,180.000000,top
"C17","10uF","C_1206_3216Metric",62.865000,-77.470000,90.000000,top
"C18","100nF","C_0603_1608Metric",63.500000,-84.836000,-90.000000,top
"C19","100nF","C_0603_1608Metric",74.930000,-87.630000,-90.000000,top
"C20","100nF","C_0603_1608Metric",66.040000,-76.200000,90.000000,top
"C21","1uF","C_1206_3216Metric",55.245000,-88.900000,0.000000,top
"C22","1uF","C_1206_3216Metric",55.245000,-82.550000,0.000000,top
"C23","100nF","C_0603_1608Metric",122.555000,-76.835000,90.000000,top
"C24","100nF","C_0603_1608Metric",122.555000,-81.280000,-90.000000,top
"C25","10pF","C_0603_1608Metric",96.672500,-81.407000,180.000000,top
"C26","10pF","C_0603_1608Metric",96.520000,-87.249000,180.000000,top
"C27","10uF","C_1206_3216Metric",99.060000,-77.470000,90.000000,top
"C28","100nF","C_0603_1608Metric",99.695000,-84.836000,-90.000000,top
"C29","100nF","C_0603_1608Metric",111.125000,-87.630000,-90.000000,top
"C30","100nF","C_0603_1608Metric",102.235000,-76.200000,90.000000,top
"C31","1uF","C_1206_3216Metric",91.567000,-88.900000,0.000000,top
"C32","1uF","C_1206_3216Metric",91.567000,-82.550000,0.000000,top
"C33","100nF","C_0603_1608Metric",113.665000,-64.135000,180.000000,top
"C34","100nF","C_0603_1608Metric",109.855000,-64.135000,180.000000,top
"C35","10pF","C_0603_1608Metric",103.505000,-59.436000,0.000000,top
"C36","10pF","C_0603_1608Metric",103.505000,-53.467000,0.000000,top
"C37","10uF","C_1206_3216Metric",100.330000,-62.865000,-90.000000,top
"C38","100nF","C_0603_1608Metric",100.330000,-55.245000,90.000000,top
"C39","100nF","C_0603_1608Metric",88.798400,-52.527200,90.000000,top
"C40","100nF","C_0603_1608Metric",97.155000,-63.500000,-90.000000,top
"C41","1uF","C_1206_3216Metric",81.915000,-55.880000,180.000000,top
"C42","1uF","C_1206_3216Metric",81.915000,-62.230000,180.000000,top
"C43","100nF","C_0603_1608Metric",45.466000,-51.435000,0.000000,top
"C44","4.7uF","C_0603_1608Metric",55.700000,-51.025000,90.000000,top
"C45","4.7uF","C_0603_1608Metric",72.500000,-88.575000,-90.000000,top
"C46","4.7uF","C_0603_1608Metric",108.700000,-88.600000,-90.000000,top
"C47","4.7uF","C_0603_1608Metric",90.678000,-51.142600,90.000000,top
"D1","D_Schottky","D_SOD-523",68.707000,-64.643000,0.000000,top
"D2","D_Schottky","D_SOD-523",53.086000,-85.725000,90.000000,top
"D3","D_Schottky","D_SOD-523",89.535000,-85.725000,90.000000,top
"D4","D_Schottky","D_SOD-523",83.820000,-59.055000,-90.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",46.990000,-95.504000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",119.888000,-95.504000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",46.990000,-44.958000,0.000000,top
"J1","USB_C_Micro","USB_Micro-B_Wuerth_629105150521",44.450000,-59.055000,-90.000000,top
"J2","Screw_Terminal_01x03","TerminalBlock_Phoenix_PTSM-0,5-3-2.5-V-THR_1x03_P2.50mm_Vertical",124.714000,-57.404000,90.000000,top
"J3"," ","PinSocket_2x13_P2.54mm_Vertical",80.645000,-47.117000,-90.000000,top
"J4"," ","PinSocket_2x13_P2.54mm_Vertical",50.165000,-93.218000,90.000000,top
"J5"," ","PinSocket_2x13_P2.54mm_Vertical",86.360000,-93.218000,90.000000,top
"J6"," ","PinSocket_2x13_P2.54mm_Vertical",116.840000,-47.117000,-90.000000,top
"R1","0R","R_0603_1608Metric",43.815000,-72.390000,90.000000,top
"R2","60R","R_0603_1608Metric",57.150000,-75.565000,-90.000000,top
"R3","60R","R_0603_1608Metric",53.340000,-75.565000,90.000000,top
"R4","0R","R_0603_1608Metric",120.396000,-67.310000,-90.000000,top
"R5","0R","R_0603_1608Metric",122.301000,-67.310000,-90.000000,top
"R6","60R","R_0603_1608Metric",109.982000,-54.864000,180.000000,top
"R7","60R","R_0603_1608Metric",109.982000,-51.308000,0.000000,top
"R8","10k","R_0603_1608Metric",50.292000,-65.278000,-90.000000,top
"R9","DNM","R_0603_1608Metric",51.816000,-65.278000,90.000000,top
"R10","10k","R_0603_1608Metric",78.105000,-76.835000,-90.000000,top
"R11","10k","R_0603_1608Metric",60.071000,-78.105000,90.000000,top
"R12","10k","R_0603_1608Metric",114.935000,-76.835000,-90.000000,top
"R13","10k","R_0603_1608Metric",96.393000,-78.105000,90.000000,top
"R14","10k","R_0603_1608Metric",116.840000,-56.515000,90.000000,top
"R15","10k","R_0603_1608Metric",77.470000,-67.310000,-90.000000,top
"R16","0R","R_0603_1608Metric",88.900000,-66.675000,180.000000,top
"R17","10k","R_0603_1608Metric",45.466000,-53.086000,0.000000,top
"TP1"," ","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",43.815000,-85.725000,0.000000,top
"TP2"," ","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",43.815000,-67.945000,0.000000,top
"TP3"," ","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",43.815000,-76.835000,0.000000,top
"TP4"," ","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",118.745000,-71.755000,0.000000,top
"TP5"," ","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",123.825000,-71.755000,0.000000,top
"TP6"," ","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",118.745000,-62.865000,0.000000,top
"TP7"," ","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",123.825000,-62.865000,0.000000,top
"TP8"," ","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",83.820000,-66.675000,0.000000,top
"TP9"," ","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",93.980000,-66.675000,0.000000,top
"TP10"," ","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",104.140000,-66.675000,0.000000,top
"U1","ATA6561-GAQW-N","SOIC-8_3.9x4.9mm_P1.27mm",58.166000,-68.961000,-90.000000,top
"U2","STM32L552/STM32L562","LQFP-48_7x7mm_P0.5mm",57.785000,-57.785000,180.000000,top
"U3","NCV8163","TSOP-5_1.65x3.05mm_P0.95mm",68.580000,-67.183000,0.000000,top
"U4","ATA6561-GAQW-N","SOIC-8_3.9x4.9mm_P1.27mm",82.310000,-79.060000,90.000000,top
"U5","STM32L552/STM32L562","LQFP-48_7x7mm_P0.5mm",70.485000,-81.915000,0.000000,top
"U6","NCV8163","TSOP-5_1.65x3.05mm_P0.95mm",55.753000,-85.725000,90.000000,top
"U7","ATA6561-GAQW-N","SOIC-8_3.9x4.9mm_P1.27mm",118.745000,-79.060000,90.000000,top
"U8","STM32L552/STM32L562","LQFP-48_7x7mm_P0.5mm",106.680000,-81.915000,0.000000,top
"U9","NCV8163","TSOP-5_1.65x3.05mm_P0.95mm",92.075000,-85.725000,90.000000,top
"U10","ATA6561-GAQW-N","SOIC-8_3.9x4.9mm_P1.27mm",111.760000,-60.325000,0.000000,top
"U11","STM32L552/STM32L562","LQFP-48_7x7mm_P0.5mm",92.710000,-57.785000,180.000000,top
"U12","NCV8163","TSOP-5_1.65x3.05mm_P0.95mm",81.280000,-59.055000,-90.000000,top
"Y1","NX3225GD-8MHZ-STD-CRA-3","SMD-2_3.2x2.5mm",69.215000,-56.515000,90.000000,top
"Y2","NX3225GD-8MHZ-STD-CRA-3","SMD-2_3.2x2.5mm",60.325000,-84.328000,-90.000000,top
"Y3","NX3225GD-8MHZ-STD-CRA-3","SMD-2_3.2x2.5mm",96.520000,-84.328000,-90.000000,top
"Y4","NX3225GD-8MHZ-STD-CRA-3","SMD-2_3.2x2.5mm",103.505000,-56.515000,90.000000,top
